,sentiment,text
96,negative,i cannot check in or add a bag your website be not work I have try desktop and mobile
97,negative,let 2 scan in passenger leave the plane than told someone to remove their bag from 1st class bin uncomfortable
98,negative,what be your phone number i cannot find who to call about a flight reservation
99,negative,be anyone do anything there today website be useless and no one be answer the phone
100,neutral,try to add my prince to my ressie this from lax
101,negative,why a traveler miss a flight to late flight check a bag i miss my morning appointment and you lose my business sfo2lax
102,neutral,check out new music
103,negative,hows a direct flight fllsfo have unexpected layover in vega 4 fuel yet peep next to me bought for vega flight sneaky
104,negative,your no late flight bag check just lose you my business i miss flight and be apt three other people on flight have same exp
105,positive,amaze customer service again raeann in she be the best customerservice virginamerica fly
106,negative,call your service line and be hung up on this be awesome sarcasm
107,negative,your site be I be try to check in and I be get the plain text version i be reluctant to enter any card info
108,neutral,i be schedule for sfo 2 dal flight 714 today change to 24th due weather look like flight still on
109,positive,have getaway deal through may from 59 oneway lot of cool city cheapflights farecompare
110,neutral,have getaway deal through may from 59 oneway lot of cool city cheapflights farecompare
111,positive,have getaway deal through may from 59 oneway lot of cool city cheapflights farecompare
112,neutral,have getaway deal through may from 59 oneway lot of cool city cheapflights farecompare
113,positive,have a great week
114,positive,come back to phl already we need you to take u out of this horrible cold pleasecomeback
115,negative,should i be concerned that i be about to fly on a plane that need to be delayed due to a tech stop
116,positive,be the best airline i have oneasy to change your reservationhelpful representative a comfortable fly experience
117,positive,and again another rep kick butt naelah represent your team so beautifully thank you
118,positive,your beautiful frontend design be down right now but it be cool to still book my ticket bc all your backend be secure
119,positive,love the team run gate e9 at la tonight wait for a delayed flight and they kept thing entertain
120,negative,use another browser 2015 a brand with a reputation built on tech response do not have a crossbrowser compatible website
121,negative,and now the flight flight book problem site be totally down folk what be the problem
122,negative,i like the customer service but a 40 min delay just for connect passenger seem too long va370
123,positive,thanks to your outstanding nycjfk crew who move mountain to get me home to san francisco tonight
124,positive,you have the absolute best team and customer service ever every time i fly with you I be delighted thank you
125,neutral,do you complimentary upgrade to first class if there be available seat
126,negative,i need to change my flight thats schedule in 9 hour and 120 min wait time on phone im call intern help
127,positive,completely awesome experience last month boslas nonstop thanks for such an awesome flight and depart time vabeatsjblue
128,neutral,how can i watch the oscars2015 on my jfksfo flight
129,neutral,be flight 882 cancel flightled and what do i do if it be
130,negative,you be fail your customer because your check in process do not link to tsa precheck
131,negative,u too terrible airline just give u a hotel hotline number and say sorry
132,neutral,have flight number 276 from sfo to san lucas arrive yet
133,negative,your assistance yesterday when u cancel flightled our flight be to give u a hotel hotline shame on you
134,negative,another delayed flight likingyoulessandless
135,negative,i need to register a service dog for a first class ticket from sfo dulles the phone queue be an hour or longer pls advise
136,positive,you rock for make it so i can watch oscar on my flight redcarpet oscar oscars2015
137,neutral,drop a track on you
138,positive,always xoxo
139,negative,why cannot we book seat on your flight when we buy them or even during check in creates so much anxiety frustrate
140,negative,you would think pay an extra 100 buck rt for luggage might afford you hire an extra hand at lame
141,positive,best customer service rep in the world irmafromdallas take the cake
142,neutral,can you find u a flt out of lax that be sooner than midnight on monday that would be great customer service
143,negative,please status for flight 769 i cant imagine it be on time a the web indicates dude to weather here andor dallas
144,positive,you have amaze staff super helpful a i just ran the princesshalf they have me with comfort
145,negative,i paid the to fly you the country you cancel flight my flight and offer no check fee or upgrade love sad face emoticonsad
146,negative,question be it not possible to book a seat for an infant under 2 it be not give me the option but we want a seat for him
147,positive,always have it together you be welcome rt you be so welcome
148,positive,flight home to dc sunset globe in backtowinter back to work refresh
149,negative,i do not understand why you need a dm to give me an answer on if you have a damage luggage policy
150,negative,do that mean you do not have a policy for destroyed luggage
151,neutral,be there special assistance if i travel alone w2 kid and 1 infant priority boarding
152,positive,thank you for check in ticket be purchase and customer be happy emoticonwink
153,neutral,be your website ever come back online
154,neutral,be flight 713 from love field to sfo definitely cancel flightled for monday february 23
155,neutral,be flight 0769 out of lga to dfw on time
156,neutral,my driver license be expire by a little over a month can i fly friday morning use my expire license
157,negative,have problem flight book problem on the web site keep give me an error and to contact by phone phone be 30 minute wait
158,negative,how do i reschedule my cancel flightled flight online the change button be greyed out
159,negative,i rang but there be a wait for 35 minute i can book the same ticket through a vendor fix your site
160,negative,get a flight we be told for 450 todaychecked my email and it for 450 tomorrow this be unacceptable
161,negative,our flight into lga be cancel flight we be stuck in dallas i call to reschedule told i could get a flight for today12
162,negative,why do not any of the pairing include red wine only be offer emoticonsad redwineisbetter
163,negative,be the website down
164,negative,your site seem a little wonked right now may want to have a look try on two browser no cs
165,negative,I be disappointed that the agent at the designate silver status check in line close to assist all pasengers
166,neutral,plan to include austin to it dallas route topnews arab emirate
167,negative,be it normal to receive no reply from central baggage baggageissues smh
168,negative,at airport and wait to checkin for my 9am flight checkin desk not open why
169,neutral,to jump into the dallasaustin market
170,neutral,beat eps view take on southwestair va luv investor business daily
171,neutral,lister to my show my on monday 1230 130
172,neutral,to begin dallasaustin flight in april 889 ketr
173,negative,congrats you just get all my business from ewr to sfolax fuck you fl1289 sfoewr be the clincher
174,negative,i apply over 2 week ago have not heard back and I be fly this week disappointed
175,neutral,I have love to know what your policy be for damage luggage
176,positive,thank you for the follow
177,negative,too many apology you r the bad airline do not even respond to your cudtomers
178,negative,shame on va for make people spend money in strand city when other airline be land at jfk who will reimburse me
179,neutral,i dm you
180,neutral,can you please have flight in sjc i have no choice but to fly southwest to vega
181,negative,too bad you say it take 10 to 14 day via your confirmation email when i inquire after 3 week you claim 6 to 8 week
182,negative,flight from bos la tomorrow be cancel flightled no notification wait time be 1 hour will you rebook on another airline
183,positive,rt youve met your get status on another airline upgrade restr
184,positive,only way to fly elevate gold
185,neutral,if only you guy have flight from
186,negative,a lot of apology be thrown out to customer from what i can seevery sad thanks for nothing bad airline ever
187,negative,for all my flight stuff wrong and do nothing about it have bad flight ever
188,neutral,have an issue find a miss item on a plane can you help me find which airport my plane head to next
189,positive,you will my americanairlines status cool
190,neutral,you have met your matchgot status on another airline upgrade
191,negative,try to book a flight with you guy and your website will not let me about to lose my business
192,negative,you suck
193,positive,thanks
194,negative,just dmd same issue persist
195,negative,because we never recd cancel flightlation notice we be left w no option to fly out of p drive to la for a red eye mon w kid
196,negative,try to book a flight your site be down
197,negative,you have any flight fly into boston tomorrow i need to be home and you cancel flightled my flight and do not do anything
198,negative,you stink flight cancel flight from psp to jfk and no notification or to rebook disappointed expect well
199,positive,i love your guy song we be dance to it for our school dance revue
200,negative,your website be down and I be try to check in
201,positive,do thank you for the quick response apparently faster than sit on hold emoticonwink
202,neutral,nervous about my flight from dc to lax get cancel flightled tomorrow just sent you a dm to help me
203,positive,cool picture of another virginamerica plane off our wing what a site
204,positive,keep up the great work emoticonsmiley
205,positive,my goodness your people field be amaze under from texas beatstheothers in crisis please fly me to ny
206,positive,thanks for a great flight from la to boston pilot do a great job land in the snow can we go back to la now seriously
207,neutral,can you please get me to the new york before monday afternoon
208,positive,thanks so much for the awesome support you guy rock
209,negative,seat in row 8 do not recline should mention that on your website soreback
210,negative,flight 404 delayed 2 hour in la due to mechanical problem handle like pro but you could have toss u a free drink
211,negative,why cancel flight flight today no precipitation to be scar of
212,positive,twitter team you guy kill it for reschedule me asap thank you
213,negative,you guy charge me 100 to reschedule a flight that be then cancel flight and be now refuse to refund it what be the deal
214,negative,cant access your website from safari on iphone 6 seem to work on mac and ipad need iphone to add passbook
215,neutral,on ipad and iphone click the checkin link in the email i receive at 24hrs before flight
216,negative,your mobile site be broken show headerelevateusernumofpointsavailable 0 number point will not let me checkin
217,negative,i be really look forward to my flight can you let me know when it will be reschedule diehardvirgin
218,negative,why cancel flight flight vx413 one sec it delayed on my to airport the next it cancel flightledgonna email or call me to reschedule
219,negative,i do it but there be a problem in the link from the email for checkin thanks
220,negative,have to change to another airline to get to dc today why be able to land in dc but not you cost me 800 ugh
221,negative,i be so look forward to my first flight with you today but it be cancel flightled with the subsequent one
222,positive,when be you put some great deal from pdx to la or from la to pdx show me your love
223,positive,wish i can afford to fly with you next friday go back home love everything about your airline
224,negative,how be you gonna have a deal from dallas to dc but no deal from dc to dallas sad
225,neutral,it just a report guy
226,negative,hold time at call center be a bit much
227,positive,like
228,negative,site down help
229,positive,you have the best flight attendant ever
230,positive,awesome rt watch nominate film at 35000 meetthefleet oscar
231,positive,thanks so much
232,negative,try to my password email never arrives help
233,positive,the only airline base in silicon valley disruption fcmostinnovative incubator s
234,positive,very nicely do
235,positive,im look forward to watch the oscar on my flight home tomorrow i might even get something bubbly to drink emoticonwink
236,negative,what be the reason for the delay of the departure of vx 413 from jfk this afternoon
237,negative,be today flight from palm spring to jfk in ny cancel flightled
238,positive,hahaha you guy be amaze i love you guy
239,positive,sound like fun
240,neutral,any update on flight 413 from jfk lax
241,neutral,spruce moose
242,negative,the cs on your site be a 404 right now please fix site unusable
243,negative,we be on flight 910 vega to boston today checked in online but our bag count do not register can i fix that somehow
244,positive,classiq luv virgin america greetingz
245,negative,hi I be try to do checkin but the website be not work i try 3 different browser and the problem continue
246,positive,thanks for your great customer service today for help me get all my travel out
247,positive,thanks guy sweet route over the rockies airplanemodewason
248,positive,love the 90 music blasting at gate in boston while wait for flight to sanfrancisco only if i could get an iced coffee
249,negative,the passenger in 7d flt 338 that assault me should not have i he be ban crew file report to
250,negative,current on website show select departure city when select destination city
251,negative,luggage be severely dentedmissing come off baggage claim in san luggage agent miranda i think be not any help
252,positive,thank you for the easy itinerary shift for impend weather quick painless free
253,neutral,if you would love to see more girl be inspire to become pilot rt our free woaw event march 28 at abq
254,positive,thanks good time there and back vodkatonics the entire flightsfo
255,neutral,beat expectation share take off santa cruz sentinel
256,neutral,any plan to start fly direct from dal to la
257,neutral,big lovegratitudempower w werin oscars2105 vipswagbags avalonhollywood
258,positive,you be do a great job add little luxuriesaesthetics that improve the air travel experience thank you keep it up
259,negative,request window seat and confirm window but get stuck in middle seat not a good way to treat silver member
260,neutral,grand budapest hotel oscarscountdown
261,neutral,this be what you miss next to the 407
262,negative,wtf i paid for direct flight on not to have to stop for fuel exhaust flier and nothing for inconvenience
263,negative,there be something wrong with you website in safari iphone
264,positive,thanks for gate check my baggage on your full flight dfwlax 883 and give me early boarding too sweet
265,negative,already checked in so the page expire x
266,negative,for a not refund a seat upgrade fee i do not want to buy in the first place
267,neutral,share rise on q4 financial result usa today
268,neutral,add pillow instead of lieflat seat in first class arm
269,positive,i see what you do there emoticonwink
270,neutral,way to take advantage of mayweatherpacquiao emoticonsmiley
271,neutral,you know I be fly virgin for the fight mayweatherpacquiao
272,positive,your inflight team make the experience amaze
273,positive,cutest salt and pepper shaker ever just when i think you guy cannot get any well you just do
274,negative,move my seat with no notice well seat be cabin select not behind the row i select disappointed
275,neutral,share up on 4q result
276,positive,fav airline
277,positive,we have a hot female pilot sweet dca to sfo emoticonsmiley
278,neutral,when be you guy go to start fly to paris you be welcome
279,neutral,what be your policy on fly after surgery i be still wait for answer so i can tell me doctor
280,negative,already contact central baggage sent dm be charge me for the dress that be in the lose suitcase help
281,positive,thank you
282,negative,be there anything go on with the website I have be get a lot of error past 30 minute
283,neutral,i think i left something on the plane yesterday who do i callah
284,neutral,i need you to follow back in order to dm
285,neutral,need to start fly to
286,neutral,they told to check with the airline regulation first so that be why i contact you
287,negative,i have just checked in flight to sfo from lax be told a atlantic fly club gold i get no benefit
288,negative,husband and i order three drink via my screen and they never come awesome
289,negative,soooo be you guy go to leave the seatbelt light on all flight you can barely call this emoticonsmiley
290,neutral,what be your policy on fly after surgery
291,neutral,post second consecutive fullyear net profit
292,negative,story your website be broken you have miss javascript and stylesheets on the checkin process i dislike this
293,positive,would love to do more for virgin just like i do for
294,neutral,result handily exceed forecast
295,neutral,i apply for a position in and i be wonder if you guy receive my application
296,neutral,achieves a second year of profitability despite revenue
297,neutral,give positive outlook but see increase
298,negative,I be try to check into my 1050am ct flight tmm on the desktop website and it be not work some of cache so
299,neutral,weather delay next few week emoticonwink jfk bos dca
300,neutral,check the website before you go to the airport
301,negative,do you guy know your checkin link from email be broken
302,neutral,pilot say we expect a choppy land in due to some gusty wind wa temperature of about 5 wthe windchill 8
303,positive,love it cannot wait for monday return flight mostly just to watch the inflight safety video again sorrynotsorry
304,negative,lose my luggage 4 day ago on flight vx 112 from lax to iad I be call every day no responseplease give me back my stuff
305,negative,the flight book problem section of your website seem to be broken on chrome might wanna look into that
306,positive,hi just want to see if you have any new route plan this year for newark love fly you guy and hope to do so more
307,positive,i mean probably while on board but it be on
308,positive,happy to spend the day together let u do this
309,neutral,be save my sanity right now
310,neutral,miss my flight how do standby work
311,positive,they be very understand and help me out thx comp
312,neutral,brought it all the way the country today i see
313,positive,thank you i will
314,negative,look like a broken link for your asset
315,neutral,be you ready let u say it together noooo today
316,negative,the manage itinerary section of your website seem to be broken for me
317,negative,cannot check in your site look like this every time it load
318,neutral,can u help this need urgent treatment in2y old battling cancer could u help with flight freyasfund
319,neutral,may start service to hawaii from sanfrancisco this year biztravel
320,negative,other carrier be less than half price for a round fare i be stun
321,negative,wtf be happen in pdx late flight march such that one way from sfo be 550
322,neutral,add dtw and I be sell
323,positive,how about some free drink on the flight back for the free promo
324,positive,thanks
325,neutral,momma i make it
326,neutral,please contact me about portfolio left on flight vx 27 from jfk to sfo seat 7am need it return call 9143290185
327,neutral,help i be on flight 27 from jkf tonight seat 7c left portfolio need it back
328,neutral,seattle bound wifey get me the duffle for vday she be a keeper holla
329,negative,my luggage be go I have file my paperwork promise a callemail still no or response from central luggage
330,neutral,debbie baldwin give a rockstar of the safety demo this even on vx919 las2sfo bestcrew sherocks
331,positive,thanks
332,positive,thanks for take care of on her flight rockstars travel
333,positive,thanks for the lovely soft view travel san to sfo
334,negative,i request a mileage for status several week ago online but have not heard back how do i get help with this
335,negative,just try to book ticket to and face super fun broken do not worry I will keep try emoticonsmiley
336,neutral,many thanks for the follow ourprincess freyasfund usa bandie look for any help
337,neutral,nice lofty view silverstatus
338,negative,apply for status on feb 1 get confirmation email same day still no news though you guy have drop ball late
339,neutral,be my new go to airline
340,neutral,can you help ourprincess in need of some help in usa
341,positive,i adore you and be so look forward to my flight to austin in two week
342,positive,i be so glad it be mention i take my first virgin flight a few year back and it be a transformative experience
343,neutral,flight book problem flight to uphold my status do tax on ticket count a earn status point statusmatch virginamerica
344,negative,try to checkinbut look like your site be down
345,negative,spending my birthday night with you daldca get me home
346,negative,sent a message to the email you but to no avail will try again next year cheer
347,positive,first time fly virgin go to sanfrancisco thanks for the smooth ride my new fav airline
348,negative,seriously though will there not be direct flight from sfofll in may
349,negative,it be fine already do with my purchase but you should try it just go most of the way through then go back 3
350,negative,not really the experience i be hop 4 i w force 2 check in a small carry on w nothing but empty cabin space on board
351,negative,wjere be our luggage so slow at lax
352,neutral,to jump into the dallas austin market
353,negative,i spoke with a representative that offer no solution i be a loyal customer who fly on a well
354,negative,i be deeply disappointed that your birthday promo be not apply to a i book mere day before i receive the email
355,negative,what happen to direct flight from sfofll look in may only see connect help dontdothistome
356,neutral,can you help left my blazer in kooples jacket bag at 3rd row second seat from right gate 36 t3 lax flight to sfo
357,neutral,partner with checkout a mobile payment method to help boost mobile conversion rate etailwest payment visa
358,positive,just promote the product be all have a problem with southwest and noneother than the best
359,positive,love you guy but pls get some direct route la to au
360,neutral,i would like help with some flight please
361,neutral,bruh turn down for what vxsafetydance
362,positive,of course i work for and I be obsess with the entire virgin family
363,positive,ok first time fly with you tonight emoticonsmiley
364,neutral,dig the swanky pink mood light during the flight from to sfo just need a cabaret singer think about it
365,neutral,do but i need the receipt asap could you please help 150219000114
366,negative,i have 2d and 3d emboss badge and patch superior to the one you be currently use
367,negative,on vx399 from jfk to la dirty plane not up to your standard
368,negative,on flight vx399 head to la from jfk dirtiest va plane i have ever be on sad for a great airline
369,positive,get it square away someone up a soon a i tweet should have tweet sooner
370,negative,your avis rental continue button do not work on your website to book car try 4 time on phone this suck
371,negative,delayed to1030
372,negative,currently in minute 10 of be on hold with cust service do i need to do anything to add a lap child to my reservation
373,neutral,add pillow instead of lieflat seat in first class arm by
374,positive,of course have fun celebrate thanks happy chinese new year
375,positive,flight book problem last second flight for next week from sfo to san any chance you want to gift me a promo code since i love you guy
376,negative,comenity bank be a joke please change nothing but constant problem with this bank
377,neutral,i just do how can i dm do u have to also add me
378,positive,for my grandma ellas 80th she would emoticonlove a bday greet from your flight crew she be a stewardess for eastern airline
379,positive,just bought tix for atx dallas route thanks for add that love yr airline yr website be best transactional site ever
380,neutral,anytime sugafly
381,positive,give a credit for my late flight flight yesterday great service that be a wow moment unexpected gesture
382,neutral,i need a receipt for a flight change can you send one
383,negative,i submit a status request a while back and still havent heard im fly on monday can you look accelerate
384,positive,have me at their safety video love my first cross country flight livewelltraveled sytycd
385,positive,that do not look to fat to me it look yummy
386,neutral,ceo say southwest jetblue have strayed from low cost model
387,neutral,a brilliant brisk be in boston in cue for vx363
388,neutral,atlantic plough a lone furrow in the middleeast
389,neutral,atlantic plough a lone furrow in the middleeast
390,neutral,atlantic plough a lone furrow in the middleeast
391,positive,omg omg nonstop dallas to austin on virgin
392,positive,your plane be really pretty just thought u should know that emoticonsmiley
393,neutral,when be you fly to hawaii
394,negative,I be pull my hair out try to book a flight with u your site do not work on iphone or ipaddo not have a computer help
395,positive,thank you
396,negative,can i get some help with a support ticket it be be 15 day incident 150202000419 thank you
397,positive,good to be home texas moodlighting
398,negative,i cannot even open my laptop in seat 4c and i paid a for this let me out of here
399,negative,i be in seat 4c and i cannot even open my laptop and i paid extra for this seat
400,neutral,if only you guy be start those flight at the end of the month guess im still road on feb 27
401,positive,thanks for that be need a way to make those austin from dca and now you have come through
402,neutral,announce new route to austin wfares from 39way
403,neutral,really sprint i thought you guy be kewl 00
404,positive,this be too cool never be on ur plane but now i will
405,neutral,you should have dollar laxlas fare
406,positive,great well deserve
407,negative,the infocom email address you say to contact in password email do not exist email bounce
408,negative,status 2 week have go by and no newsflt next week hope flt will count towards requirement cust svc no help
409,negative,your website suck donkey dick just thought you should know all best
410,neutral,you should still develop an app then you will be my favorite airline
411,negative,all crap channel which be why i pay to watch uk tv
412,positive,get it all set thanks
413,neutral,no a channel this year
414,neutral,only thing i see on passbook be virgin mobile mexico how do i integrate
415,positive,giant and virgin america a make in heaven
416,positive,thank goodness also see you friday nwksf boom
417,negative,how come you do not have an iphone app still use and make me waste paper
418,negative,your back of seat entertainment system do not accept credit card that have an apostrophe in the surname apostrophefail
419,negative,when will vx use all 6 lga slot instead of 4 today add au make this less emoticonsad
420,neutral,be help me step up my game tindertips tinderchamp
421,positive,i luv ur people and product 1 thing be y do u charge for herbal tea but not black tea I be not a caffeine drinker
422,positive,thank you see yall soon I be excite to see the expansion of destination spread those wing
423,neutral,announces new nonstop connect intro
424,neutral,add austindallas love field route
425,negative,sad to learn you no longer fly sfo phl hope it return
426,neutral,can you tweet me the cancel flightchng fee for a flight or can i rebook under one of your affiliate if so who be afiliates
427,positive,have the most incredible customer service I have ever experienced so refresh
428,neutral,now when will we see virginamerica come to philadelphia phl
429,positive,be i dream do you really just open up a route between dallas and austin and do this mean houston might be next
430,positive,omg finally
431,neutral,to start 5xweekly a319 flight from to dallas austin on 28apr avgeek
432,neutral,nice to see you expand in texas but do not forget about u here in sandiego i would love to see more flight out of here
433,negative,kinda suck my earphone jack do not work on my flight they may want to look into that for passenger
434,negative,very poor experience first computer problem now seat malfunction stuck miss meeting in san diego
435,neutral,to battle on route via
436,positive,thankyou the dalaus route make my day
437,positive,awesome deal dalaus for only each way
438,neutral,i miss the nerdbird in san
439,positive,love it take on in their backyard consumer win when biz competes
440,positive,be fly from love to austin now that be most excellent news
441,neutral,can we make every vx plane with nerdbird why should austin be the only one get nerd love
442,neutral,please add more frequency to pdx portland
443,positive,congrats vx on the new route
444,negative,i try that you offer to charge me an additional 1k for a new ticket or be strand until thurs 1st time last time
445,neutral,can u help with flight to get a 2y old battling cancer who need treatment in
446,negative,never have a bad experience before but this one take the cake now extortion for carry on item a well
447,negative,have to spend 5 hour worry that item in carryon would be brokenstolen since i could not carry them on plane or lock bag
448,negative,all of group e be told there be no more room in the bin when i get on the plane be room for at least 4 bag in my row
449,negative,thanks for make my flight from lax to jfk a nightmare by force me to check my carry on bag at the gate 1
450,negative,i have lot of flight to book and your site it not work I have be on the phone wait for over 10 minute
451,positive,i be all about the in flight artisanal cheese and wine pair
452,neutral,do virgin america fly direct from seattle to or boston
453,positive,that be classy
454,positive,I be sure a lot of your 747 and 777 jfklhr flight go a lot faster than 513mph with a strong tailwind
455,positive,now it be just tminus 32 minute until my elevate a silver upgrade window open freeneversucks
456,neutral,save some for 871 tomorrow be
457,negative,why be it take 12 year to fly home to dallas get your shit together
458,neutral,club virgin be bumping in new york
459,positive,would have be a but we be on a virginamerica flight weather
460,neutral,be that thestarter
461,neutral,please come to minneapolis st paul
462,neutral,yes my bff
463,positive,another perfect flight how come on your plane the sun visor can stay down other carrier make you raise them
464,positive,nice rt the man of steel might be faster but we have wifi just say sciencebehindtheexperience
465,positive,i love the dance little richard cool bean
466,positive,i dont use passbook i still love you though emoticonlove emoticonsmiley ill just use my email in the
467,positive,thanks for the free birthday point yall be all right with me
468,neutral,do you have an application for io be look and only saw virgin mexico emoticonsad 3
469,negative,man of steel fly to more city thoughand with more frequency too
470,positive,thanks so much for share just add it to my site
471,neutral,good point
472,neutral,i heard he have a virgin mobile hotspot emoticonwink
473,neutral,you get cheese plate flight too
474,neutral,on all your flight
475,positive,dad on segway be the best of this whole infographic
476,positive,be there any plan for a haul airline in europe would defiantly fly with you guy emoticonsmiley
477,positive,wifi and well seat
478,neutral,how come abc be the only one of the network channel you do not have
479,negative,start my flight with a scold for use an overhead bin that be then offer to the person seat next to me
480,positive,not only be it great but you return my call the day after could not ask for more myvxexperience
481,negative,while other airline be not cancel flight flight into bos and help their customer get home virgin be say good luck
482,neutral,virgin customer while you be strand in for 3 day 1000cost will do the very least we can to accommodate you
483,neutral,should use this in their next airline commercial lol
484,negative,group virgin in with the others now bos weather have expose their actual cu serv model never flight book problem with virgin again
485,negative,a one of the traveler affected by the boston storm I be shock at virgin complete apathy toward their customer
486,negative,umm so no reason a to why this be be there someone different i should contact or contact me to get a definitive answer
487,negative,try to make the change in advance not just 24 hour priortried it online earlier and it want 300 in change fee
488,positive,so loyal that I be drive to from to fly virgin since you cut philly flight emoticonwink
